"X","user_username","text","tweet_id","lang","sourcetweet_type","quote_count"
1755,"HaleyBring","@PCIT_Inc Working as a clinical social worker with children and parents surrounding an array of needs, but particularly in the area of neurodiversity and trauma, I would love the opportunity to be trained in an evidence based practice that benefits my youngest clients!",1499390042522984448,"en","999",0
1927,"pdkintl","“Today’s ABA is aimed at teaching functional and appropriate alternatives to challenging behavior and promoting a child’s independence while respecting their neurodiversity,” explains Juliet E. Hart Barnett in the latest Kappan. #sped ",1499459776949989376,"en","999",0
2006,"CybersecuritySF","The #Cybersecurity field has 3.5 million job openings according to Cybersecurity Ventures @CybersecuritySF. Thought leadership from @BankofAmerica on #Neurodiversity. via @businessinsider",1499502846198308864,"en","999",0
2101,"DisabilityLead","DLI CEO @HChristinaR doing her thing talking with Manu Sakar in the Global Dialogue Series on Neurodiversity about why #Diversity is so important in the #Leadership space.

#Disability #Autism #Leaders #DisabilityLeaders",1499539117071380480,"en","999",0
2137,"geniuswithinCIC","Book your tickets now for our #CelebratingNeurodiversityAwards 2022 ⭐🏆⭐

Join us live from the London Stock Exchange
on the 24th March @4pm GMT

🎟️ Sponsored by
@EYnews  @MicrosoftUK &amp; @LSEplc 

 #Neurodivergent #Neurodiversity  #DisabilityCommunity ",1499686229180362752,"en","999",2
2178,"TheLeadDev","Making your neurodiverse teammates feel safe.

",1499663585097699328,"en","999",0
2390,"bw_businesswest","EVENT: Introduction to Neurodiversity at Work
Learn how to:
✅ Break down some of the terminology and myths 
✅ Explore the benefits neurodiversity can bring to your organisation
📅 9 Mar | 10am-11am
👉 Partner event: @WestofEnglandCA &amp; @InclusiveChange ",1499776749340606464,"en","999",0
2728,"PCDUE","How can the #Cybersecurity industry address lesser discussed gaps in diversity including #PhysicalDisability, #Neurodiversity &amp; #SocioeconomicDisparity, join our #IMOS22 panel discussing how to remove barriers in the way of a truly diverse profession ",1500030014443724800,"en","999",0
2831,"ZomeDash","@CaseyHedges2 The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1500064843482767360,"en","999",0
2833,"ZomeDash","@JlionCrew The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1.500064607679e+18,"en","999",0
2852,"changemakerjobs","Want to join an award-winning social enterprise who are pioneers at championing neurodiversity and disability inclusion? @DandA_inclusion are hiring for a Business Development Lead.

Details: #Jobs #Careers #Job #Vacancies #CMJ ",1500056787562610688,"en","999",0
3177,"boxpiperapp","Ways to Support Neurodiverse Individuals in Your Nonprofit Workplace #techsoup #nonprofit #nonprofitmanagement #neurodiversity #neurodivergent #nonprofits #nonprofits #hackernoontopstory",1500176975633207296,"en","999",0
3522,"MakingStridesNF","The latest Making Strides For Autism, Inc.! #autism #neurodiversity",1500335349431783424,"en","999",0
3911,"GPCyberCrime","📽️Dyslex. io: What is #Neurodiversity ?

@creased_puddle @NeuroCyberUK @dyslex_io @Autism @AmbitiousAutism @ADHDFoundation @DyspraxiaYouth @BDAdyslexia @DyscalculiaNet1 

#CyberCSO #CyberProtect 🛡️💙 

",1500559203185971200,"en","999",0
4047,"GPCyberCrime","📽️Dyslex. io: What is #Neurodiversity ?

@creased_puddle @NeuroCyberUK @dyslex_io @Autism @AmbitiousAutism @ADHDFoundation @DyspraxiaYouth @BDAdyslexia @DyscalculiaNet1 

#CyberCSO #CyberProtect 🛡️💙 

",1500769240386789376,"en","999",0
4060,"thecoinhunter","Neurodivergence: Provoking a New Mind Sight - via @smedian_network #ArtificialIntelligence #Neurodiversity #Neuroscience #Humanity ",1500763478210105344,"en","999",0
4069,"AltTeaching","If your child was also given an ID diagnosis at the #RegionalCenter in California without an evaluation or diagnosis from a doctor, please let us know. #AutismParent #Neurodiversity #ActuallyAutistic #ABAisAbuse #neuroscience #Neurodivergent #NeuroTwitter #Autism #Autistic ",1500756882864033792,"en","999",0
4079,"TheLeadDev","Making your neurodiverse teammates feel safe.

",1500750204479414272,"en","999",0
4110,"MakingStridesNF","The latest Making Strides For Autism, Inc.! #autism #neurodiversity",1500697743345467392,"en","999",0
4114,"ZomeDash","@AutismlandPenny The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1500690114154045440,"en","999",0
4133,"DI_Leaders","Neurodiversity at Work 2022 - 24 May. Online one-seminar featuring 12 speakers sharing practical advice, including:
- @OriChand @avivaplc 
- @Aidan_Healy @LexxicLtd
- @BrissettBailey 
- Rachel Pears @RPCLaw
Details: #DILeaders #Inclusion #Neurodiversity ",1500839943521947648,"en","999",0
4306,"LSEPhilosophy","""Philosophy is the art of dancing with big ideas, and the biggest of ideas often require a new perspective.""

Sam Crutcher from @LSESocialPolicy explores philosophy and neurodiversity in this NEW POST from the #LSE Philosophy Blog.

",1500847236464488448,"en","999",1
4373,"dlrcommunity","All Abilities Ireland is a leading body in Performing Arts, supporting Neurodiversity &amp; Mental Health by delivering bespoke creative/life skills programmes

Check out their upcoming events for Teens &amp; Kids at: #dlrCommunity @Crosscare1 @ComhairleNaNog1 ",1500901595650813952,"en","999",0
4384,"switchboard_ie","Tonight is our neurodiversity and disability night. Give us a call, we are open from 6.30pm to 9pm #lgbt #lgbtqia #helpline #neurodiversity #disability #support #listening #signposting",1500894052186689536,"en","999",0
4513,"MakingStridesNF","The latest Making Strides For Autism, Inc.! #autism #neurodiversity",1501060129357287424,"en","999",0
4523,"bluxinga","Embracing neurodiversity should be a top priority for organizations. This blog breaks down the following: 

- What is Neurodivergence?
- What are some potential challenges of remote work for Neurodiverse Individuals?
- How can employers help address these? ",1501041521562427392,"en","999",0
4559,"HRHappyHour","Catch 'Off the Clock' w/ @TrishMcFarlane  &amp; 
@SteveBoese Today we chat about Trish's new #bowling high game, #rewards &amp; #recognition in #sports &amp; at work. Also #assessments,  #neurodiversity, and Dua Lipa - Join us! #work #HR @HRHappyHour",1500992204864729088,"en","999",0
4595,"HRHappyHour","Go 'Off the Clock' w/ @TrishMcFarlane  &amp; 
@SteveBoese Today we chat about Trish's new #bowling high game, #rewards &amp; #recognition in #sports &amp; at work. Also #assessments,  #neurodiversity, and Dua Lipa - Join us! #work #HR @HRHappyHour",1500962576875896832,"en","999",0
4631,"tcomer4418","Professor Amanda Kirby Highlights Forgotten Neurodiversity Heroines On International Women’s Day ",1501112001895931904,"en","999",0
4638,"FreeVipQuote","Professor Amanda Kirby Highlights Forgotten Neurodiversity Heroines On International Women’s Day ",1501106214809128960,"en","999",0
4670,"ForbesEurope","Professor Amanda Kirby Highlights Forgotten Neurodiversity Heroines On International Women’s Day ",1501093137569177600,"en","999",0
4674,"changemakerjobs","Want to join an award-winning social enterprise who are pioneers at championing neurodiversity and disability inclusion? @DandA_inclusion are hiring for a Business Development Lead.

Details: #Jobs #Careers #Job #Vacancies #CMJ ",1501091180364267520,"en","999",0
4774,"ZomeDash","@CaseyHedges2 The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1501132155564576768,"en","999",0
4778,"ZomeDash","@Autism_updates The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1501131640151678976,"en","999",0
4785,"thecoinhunter","Neurodivergence: Provoking a New Mind Sight - via @smedian_network #ArtificialIntelligence #Neurodiversity #Neuroscience #Humanity ",1501126603291729920,"en","999",0
4870,"inspireworknow","Embracing #neurodiversity, can help organizations attract staff, introduce new ways of problem-solving &amp; #innovate. Join our webinar on March 23 &amp; hear from leading #Diversity #Equity &amp; #Inclusion experts to learn the value of diverse talent @TexthelpWork",1501181330079600640,"en","999",0
4966,"bw_businesswest","EVENT: Introduction to Neurodiversity at Work
Learn how to:
✅ Break down some of the terminology and myths 
✅ Explore the benefits neurodiversity can bring to your organisation
📅 9 Mar | 10am-11am
👉 Partner event: @WestofEnglandCA &amp; @InclusiveChange ",1501211195700830208,"en","999",0
4971,"ASERT_PAautism","#Conflicts can happen when people disagree or become upset.

This #ResourceoftheWeek, Conflict Resolution, has some Dos and Don'ts to help you when you find yourself in a conflict.

➡️ #Conflict #ConflictResolution #ActuallyAutistic #Neurodiversity ",1501210570355269632,"en","999",0
5184,"DougPuckett7","“I felt like I was always having to play a part. To be someone else - just to fit in.” Take a moment to walk in Delphine’s shoes. #inclusion #Neurodiversity #autism ",1501387691182624768,"en","999",0
5207,"anjalisinch","“I felt like I was always having to play a part. To be someone else - just to fit in.” Take a moment to walk in Delphine’s shoes. #inclusion #Neurodiversity #autism ",1501350763057991680,"en","999",0
5260,"KimberlyGavagan","“I felt like I was always having to play a part. To be someone else - just to fit in.” Take a moment to walk in Delphine’s shoes. #inclusion #Neurodiversity #autism ",1501331435646427136,"en","999",0
5276,"thecoinhunter","Neurodivergence: Provoking a New Mind Sight - via @smedian_network #ArtificialIntelligence #Neurodiversity #Neuroscience #Humanity ",1501489739882508288,"en","999",0
5339,"prachipant02","“I felt like I was always having to play a part. To be someone else - just to fit in.” Take a moment to walk in Delphine’s shoes. #inclusion #Neurodiversity #autism ",1501438873846439936,"en","999",0
5344,"MakingStridesNF","The latest Making Strides For Autism, Inc.! #autism #neurodiversity",1501422514484006912,"en","999",0
5376,"DI_Leaders","Neurodiversity at Work 2022 - 24 May. Online one-seminar featuring 12 speakers sharing practical advice, including:
- @OriChand @avivaplc 
- @Aidan_Healy @LexxicLtd
- @BrissettBailey 
- Rachel Pears @RPCLaw
Details: #DILeaders #Inclusion #Neurodiversity ",1501534520218107904,"en","999",0
5380,"ZomeDash","@AutismArmyNFT The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1501533775905312768,"en","999",0
5425,"nafclark","“I felt like I was always having to play a part. To be someone else - just to fit in.” Take a moment to walk in Delphine’s shoes. #inclusion #Neurodiversity #autism ",1501507565565317120,"en","999",0
5480,"QbtechADHD","Comedian and judge on this on the BBC's Great British Menu @rorybremner, speaks frankly about his lived experience #ADHD in this interview with @myldn:

“...I say it’s my best friend and my worst enemy"".

#ADHD #neurodiversity 

@ADHDFoundation",1501576982630486016,"en","999",1
5494,"JMBEdServices","Maths is all around us...

#mathsinnature #neurodiversity #Dyscalculia ",1.501571273109e+18,"en","999",0
5516,"Cappfinity_US","We are delighted to announce a new partnership with specialist neurodiversity consultancy, @LexxicLtd, to help businesses create a culture that enables neurodivergent talent to flourish.

Read more: #PressRelease #NeuroDiversity #Recruitment #DEI #Talent ",1501560671665889280,"en","999",0
5519,"ketangajbhiye","“I felt like I was always having to play a part. To be someone else - just to fit in.” Take a moment to walk in Delphine’s shoes. #inclusion #Neurodiversity #autism ",1501559902547763200,"en","999",0
5529,"tshakalee","“I felt like I was always having to play a part. To be someone else - just to fit in.” Take a moment to walk in Delphine’s shoes. #inclusion #Neurodiversity #autism ",1501557176384454656,"en","999",0
5614,"rahulrpurohit","From Vancouver and Toronto to Montréal and Halifax, we’re building a more neuro-diverse workforce and developing accessible environments where all employees can thrive. Learn about EY’s #Neurodiversity Centers of Excellence: #EYCanada #YouBelong ",1501603945931812864,"en","999",0
5647,"InfosecurityMag","How can the #Cybersecurity industry address lesser discussed gaps in diversity including #PhysicalDisability, #Neurodiversity &amp; #SocioeconomicDisparity, join our #IMOS22 panel discussing how to remove barriers in the way of a truly diverse profession ",1501667393822674944,"en","999",0
5872,"DisabilityLead","DLI CEO @HChristinaR doing her thing talking with Manu Sakar in the Global Dialogue Series on Neurodiversity about why #Diversity is so important in the #Leadership space.

#Disability #Autism #Leaders #DisabilityLeaders",1501743895025094656,"en","999",0
5919,"TheLeadDev","Making your neurodiverse teammates feel safe.

",1501867780773232640,"en","999",0
5952,"thecoinhunter","Neurodivergence: Provoking a New Mind Sight - via @smedian_network #ArtificialIntelligence #Neurodiversity #Neuroscience #Humanity ",1501852885038080000,"en","999",0
6006,"changemakerjobs","Want to join an award-winning social enterprise who are pioneers at championing neurodiversity and disability inclusion? @DandA_inclusion are hiring for a Business Development Lead.

Details: #Jobs #Careers #Job #Vacancies #CMJ ",1501815883420684288,"en","999",0
6027,"ZomeDash","@CaseyHedges2 The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1501913933933907968,"en","999",0
6036,"GPCyberCrime","📽️Dyslex. io: What is #Neurodiversity ?

@creased_puddle @NeuroCyberUK @dyslex_io @Autism @AmbitiousAutism @ADHDFoundation @DyspraxiaYouth @BDAdyslexia @DyscalculiaNet1 

#CyberCSO #CyberProtect 🛡️💙 

",1501909499787026432,"en","999",0
6064,"ZomeDash","@Autism_updates The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1501891159785984000,"en","999",0
6065,"ZomeDash","@CaseyHedges2 The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1501890961076629504,"en","999",0
6066,"ZomeDash","The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1501890906357739520,"en","999",0
6166,"AstridCoxon","Neurodiversity is not just for those we work with - The Psychologist via @psychmag",1501935685271318528,"en","999",0
6197,"tourettesaction","We want everyone to be able to access a timely diagnosis and treatment regardless of where they live in the U.K. We are calling on the Government to ensure this happens. 
Help us be heard 
 #TourettesWeMatter #Tourettes #Tics #TS #TouretteSyndrome #TouretteAction #Neurodiversity ",1501920952413732864,"en","999",2
6252,"lpernenkil","“I felt like I was always having to play a part. To be someone else - just to fit in.” Take a moment to walk in Delphine’s shoes. #inclusion #Neurodiversity #autism ",1501968380378566656,"en","999",0
6420,"ZomeDash","@Aut2knowpgh The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1502039117777018880,"en","999",0
6606,"RAuliaPeterson","Neurotribes: The Legacy of Autism and the Future of Neurodiversity Epub 
",1502152662636457984,"en","999",0
6876,"DI_Leaders","Neurodiversity at Work 2022 - 24 May. Online one-seminar featuring 12 speakers sharing practical advice, including:
- @OriChand @avivaplc 
- @Aidan_Healy @LexxicLtd
- @BrissettBailey 
- Rachel Pears @RPCLaw
Details: #DILeaders #Inclusion #Neurodiversity ",1502229096608444416,"en","999",0
6926,"tourettesaction","We want everyone to be able to access a timely diagnosis and treatment regardless of where they live in the U.K. We are calling on the Government to ensure this happens. 
Help us be heard 
 #TourettesWeMatter #Tourettes #Tics #TS #TouretteSyndrome #TouretteAction #Neurodiversity ",1502283331223924736,"en","999",0
6967,"EISUnion","Opportunity for neurodivergent members! 

@EducationScot are hosting a networking event marking Neurodiversity Celebration Week, on the 24th March. For further information and to book your place, visit: ",1502268398109089792,"en","999",0
7017,"theGwordfilm","Stay up to date with THE G WORD, sign up for our mailing list: 👉 #TheGWordFilm #gifted #education #documentary #film #gtchat #neurodiversity ",1502313649632862208,"en","999",0
7137,"AutismSociety","Girls often mask and defy stereotypical Autistic behaviors. Clinicians must carefully listen to their patients so they do not miss the opportunity to provide the support needed. ",1502328539974098944,"en","999",0
7299,"ZomeDash","@Aut2mom The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic ",1502384713985675264,"en","999",0
7412,"whenarepeople","or, maybe, think about neurodiversity is intersectionality for abled cis straight tall Judeo-Christian capitalist upper middle class white men",1502398834269626368,"en","999",0
7752,"changemakerjobs","Want to join an award-winning social enterprise who are pioneers at championing neurodiversity and disability inclusion? @DandA_inclusion are hiring for a Business Development Lead.

Details: #Jobs #Careers #Job #Vacancies #CMJ ",1502664235536437248,"en","999",0
7821,"GummiPies","Please be mindful. Please spread awareness. And please give grace. #neurodiversity #learningdisabilities #dyslexia #actuallyautistic",1502651830073012224,"en","999",0
7849,"GPCyberCrime","📽️Dyslex. io: What is #Neurodiversity ?

@creased_puddle @NeuroCyberUK @dyslex_io @Autism @AmbitiousAutism @ADHDFoundation @DyspraxiaYouth @BDAdyslexia @DyscalculiaNet1 

#CyberCSO #CyberProtect 🛡️💙 

",1502691901396377600,"en","999",0
8204,"TheLeadDev","Making your neurodiverse teammates feel safe.

",1502810437850644480,"en","999",0
8290,"AnilAnnaiah","“Be kind with your perspectives… do not let them judge… other's rightful choices”.
#startupIndia #success #lifeandleadership #lifegoals #stressmanagement #anxietyrelief #depressionandanxiety  #mentalhealth #neurodiversity #inclusiveleadership #diversityintheworkplace #inclusive ",1502945001319256064,"en","999",0
8341,"ZomeDash","@TranTua42388799 The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1503046240333877248,"en","999",0
8565,"ZomeDash","@autismquotesorg The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1503170764756901888,"en","999",0
8584,"daparis","Creating support for neurodiversity in the workplace via @Deloitte",1503154611779219456,"en","999",0
8696,"janecat60","Australian workplaces have a big neurodiversity gap ",1503236457640591360,"en","999",0
8729,"votesforschools","For Neurodiversity Week, our next VoteTopic will ask our voters to consider the impact of labels on conversations surrounding neurodiversity. Keep your eyes peeled for the results of this debate! ",1503325408711872512,"en","999",0
8742,"changemakerjobs","Want to join an award-winning social enterprise who are pioneers at championing neurodiversity and disability inclusion? @DandA_inclusion are hiring for a Business Development Lead.

Details: #Jobs #Careers #Job #Vacancies #CMJ ",1503318270815834112,"en","999",0
8744,"bubblecreati0ns","Are you a risk taker?🌈
#neurodiversity #autism #autismawareness #autistic #autismacceptance ",1503316864973299712,"en","999",0
8861,"DI_Leaders","Neurodiversity at Work 2022 - 24 May. Online one-seminar featuring 12 speakers sharing practical advice, including:
- @OriChand @avivaplc 
- @Aidan_Healy @LexxicLtd
- @BrissettBailey 
- Rachel Pears @RPCLaw
Details: #DILeaders #Inclusion #Neurodiversity ",1503346459646873600,"en","999",0
8894,"barmswell","Celebrating Neurodiversity Awards...
For a world that works for everyone... where everyone can be their true best selves.
#inclusion #diversity #culture ",1503334814874841088,"en","999",0
8931,"cult_evo","How To Talk About Autism Respectfully · Public Neurodiversity Support Center ",1503388753234178048,"en","999",0
8940,"switchboard_ie","Tonight is our neurodiversity and disability night. Give us a call, we are open from 6.30pm to 9pm #lgbt #lgbtqia #helpline #neurodiversity #disability #support #listening #signposting",1503385473011441664,"en","999",0
8979,"simplycomm","We interviewed Aoife Casson from @AlzResearchUK about neurodiversity in the workplace. 

Aoife, who is neurodiverse, offered insights into how internal comms can play a part in creating a welcoming atmosphere for those that are diverse.

#neurodiversity ",1503371993814601728,"en","999",0
8981,"FIREFLY_NW","Join us to hear this incredible story in honour of Neurodiversity Week!

Check out Michael’s website. 

Please register for this event by providing your email address, through our Microsoft forms Link by March 18th at 4:30 pm.
",1503370914725089280,"en","999",0
8985,"tourettesaction","We want everyone to be able to access a timely diagnosis and treatment regardless of where they live in the U.K. We are calling on the Government to ensure this happens. 
Help us be heard 
 #TourettesWeMatter #Tourettes #Tics #TS #TouretteSyndrome #TouretteAction #Neurodiversity ",1503370651968679936,"en","999",0
9077,"autism_coaching","There's still time to visit our Eventbrite to get your place booked! 🌈
#neurodiversity #autism #autismawareness #autistic #autismacceptance ",1503402344930856960,"en","999",0
9080,"ndawards","This week marks Neurodiversity Celebration week! 

‘Neurodiversity Celebration Week is an initiative that challenges stereotypes &amp; misconceptions about neurological differences. Transforming how individuals are perceived and supported.’

Find out more: ",1503401103756570624,"en","999",4
9119,"FreeVipQuote","Can We Celebrate Neurodiversity Yet? ",1503435562895609856,"en","999",0
9176,"ForbesEurope","Can We Celebrate Neurodiversity Yet? ",1503422099075051520,"en","999",0
9225,"Aut_Dr_Parent","100-ish Inclusive Children's Books on Autism and Neurodiversity via @notanautismmom",1503458220450500608,"en","999",0
9405,"ZomeDash","@BDSenol The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1503524679453220864,"en","999",0
9406,"ZomeDash","@BDSenol The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1503524476843134976,"en","999",0
9441,"FIREFLY_NW","Join us to hear this incredible story in honour of Neurodiversity Week!

Check out Michael’s website. 

Please register for this event by providing your email address, through our Microsoft forms Link by March 18th at 4:30 pm.
",1503506489268396032,"en","999",0
9511,"AnilAnnaiah","“Be kind with your perspectives… do not let them judge… other's rightful choices”.
#startupIndia #success #lifeandleadership #lifegoals #stressmanagement #anxietyrelief #depressionandanxiety  #mentalhealth #neurodiversity #inclusiveleadership #diversityintheworkplace #inclusive ",1503577401325879296,"en","999",0
9549,"ZomeDash","@CaseyHedges2 The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic",1503545859711062016,"en","999",0
9555,"Telotee2","Embrace Neurodiversity Autism Awareness Men Women Kids T Shirt ",1503542515114418176,"en","999",0
9556,"telotee1","Embrace Neurodiversity Autism Awareness Men Women Kids T Shirt ",1503541862090612736,"en","999",0
9589,"bubblecreati0ns","There's still time to visit our Eventbrite to get your place booked! 🌈
#neurodiversity #autism #autismawareness #autistic #autismacceptance ",1503642670253682688,"en","999",0
9591,"DyspraxicMe","This Saturday we will be meeting over Zoom to learn about building our confidence. The workshop will be delivered by @DivergentUK_ 
#dyspraxia #dyspraxic #neurodiversity",1503642448572129280,"en","999",0
9688,"tee_googslip","Embrace Neurodiversity Autism Awareness Men Women Kids T Shirt ",1503672343788662784,"en","999",0
9694,"telotee1","Embrace Neurodiversity Autism Awareness Men Women Kids T Shirt ",1503670862154989568,"en","999",0
9824,"ZomeDash","@Unitewithautism The puzzle piece is an outdated, offensive hate symbol, it's meaning is that we have a 'puzzling condition' that needs to be fixed so we fit in. The correct symbol for autism is the gold infinity, or rainbow infinity for general neurodiversity. #EndAutismSpeaks #ActuallyAutistic ",1503685072259624960,"en","999",0
9846,"telotee1","Embrace Neurodiversity Autism Awareness Men Women Kids T Shirt ",1503680324760670208,"en","999",0
9850,"tee_googslip","Embrace Neurodiversity Autism Awareness Men Women Kids T Shirt ",1503679871389962240,"en","999",0
9852,"Telotee2","Embrace Neurodiversity Autism Awareness Men Women Kids T Shirt ",1503679148967198720,"en","999",0
9881,"GPCyberCrime","📽️Dyslex. io: What is #Neurodiversity ?

@creased_puddle @NeuroCyberUK @dyslex_io @Autism @AmbitiousAutism @ADHDFoundation @DyspraxiaYouth @BDAdyslexia @DyscalculiaNet1 

#CyberCSO #CyberProtect 🛡️💙 

",1503723444919324672,"en","999",0
9893,"inspireworknow","Embracing #neurodiversity, can help organizations attract staff, introduce new ways of problem-solving &amp; #innovate. Join our webinar on March 23 &amp; hear from leading #Diversity #Equity &amp; #Inclusion experts to learn the value of diverse talent @TexthelpWork",1503718379726716928,"en","999",0
10021,"MHTDerbys","Next week is Neurodiversity Celebration Week 2022! Throughout the week there's a wide range of events taking place to encourage conversations around neurodiversity. Take part to join 1000's of people celebrating different minds! 🎉 For more info visit: ",1503741055912628224,"en","999",0
10038,"bubblecreati0ns","I always go for the hands in pockets 😂
#neurodiversity #autism #autismawareness #autistic #autismacceptance #adhd #adhdawareness #mentalhealth #mentalhealthsupport ",1503736301262155776,"en","999",0
10043,"tourettesaction","We want everyone to be able to access a timely diagnosis and treatment regardless of where they live in the U.K. We are calling on the Government to ensure this happens. 
Help us be heard 
 #TourettesWeMatter #Tourettes #Tics #TS #TouretteSyndrome #TouretteAction #Neurodiversity ",1503732971710332928,"en","999",0
