,challenge,understanding,inclusion,leadership,work,work_from_home,rights,burnout,issue,fatigue,awareness,skill,communication,result,learning,mental_health,discrimination,tolerance,advocacy,acceptance,new_normal,accessibility,lockdown,anxiety,depression,home_schooling,job,support,workplace,training,productivity,career,diversity,rest,pandemic,project,permanent,role,policy,isolation,meeting,task,employment,fear,recovery,compliance,balance,coaching,empathy,head,social_distancing,goal,position,manager,overload,accountability,deadline,shift,problem,target,management,routine,growth,remote_work,stress,commitment,online_learning,remote_learning,quarantine,mastery,mentorship,harassment,accommodation,resilience,discussion,shutdown,regulation,boss,feedback,standard,partnership,loneliness,coordinator,performance,development,direction,difficulty,frustration,law,break,oversight,equity,director,hours,dedication,collaboration,reopening,cooperation,rule,contract,leave,responsibility,office,sensory_environment,telecommuting,unemployment,sensitivity,achievement,guidance,virtual_work,containment,pressure,hurdle,team_leader,promotion,objective,occupation,expertise,chief,officer,virtual_meeting,ethics,freelance,flexibility,output,interaction,profession,fairness,obstacle,vacation,home_office,stability,honesty,efficiency,schedule,integrity,milestone,adjustment,vocation,supervisor,time_off,temporary,reliability,leisure,teamwork,boredom,uncertainty,appraisal,furlough,supervision,workload,lifting,assignment,advancement,cubicle,synergy,guideline,competency,desk,administrator,relaxation,procedure,health_crisis,loyalty,economic_impact,confinement,downtime,overtime,restriction,subordinate,digital_workspace,punctuality,outbreak,job_loss,online_platform,flexible_schedule,workstation,virtual_collaboration
2020-07-16,2.0,8.0,7.0,,12.0,,3.0,,2.0,,9.0,1.0,4.0,,14.0,10.0,,1.0,3.0,5.0,,2.0,,1.0,,,8.0,7.0,2.0,7.0,,3.0,12.0,,1.0,,,1.0,,1.0,,,8.0,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,2.0,,1.0,,,,,,3.0,,,,1.0,,,,,,2.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-17,1.0,3.0,2.0,2.0,7.0,,2.0,,2.0,,7.0,1.0,,,8.0,7.0,,,,3.0,,3.0,1.0,2.0,,,,4.0,7.0,,,,6.0,,1.0,2.0,,1.0,,,1.0,,1.0,,1.0,,,2.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,3.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-21,1.0,1.0,5.0,,16.0,,,,,,14.0,,,,7.0,8.0,,,1.0,2.0,,4.0,1.0,2.0,1.0,,2.0,11.0,11.0,3.0,1.0,2.0,10.0,3.0,,4.0,,1.0,1.0,,,,6.0,1.0,,,,2.0,2.0,,2.0,,,,,,,1.0,1.0,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,2.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-23,1.0,3.0,7.0,,29.0,,2.0,,,,7.0,,1.0,,4.0,7.0,,,,6.0,,1.0,4.0,5.0,2.0,,2.0,14.0,6.0,1.0,,4.0,9.0,1.0,1.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,1.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-25,1.0,3.0,1.0,,5.0,,,,,,5.0,,,,5.0,1.0,,,1.0,8.0,,,,2.0,1.0,,,3.0,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,,,,1.0,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-26,1.0,,2.0,,9.0,,3.0,,1.0,1.0,3.0,,,1.0,4.0,4.0,,,1.0,4.0,,1.0,2.0,2.0,,,,2.0,1.0,,,,4.0,2.0,,,,,,,,,4.0,1.0,,,,,,,,3.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-28,1.0,6.0,10.0,,11.0,,2.0,,1.0,,7.0,,1.0,,6.0,16.0,,,,1.0,,2.0,2.0,4.0,,,1.0,8.0,5.0,2.0,2.0,,9.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,3.0,,1.0,,,1.0,1.0,,,,,,,,,,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-30,2.0,2.0,3.0,,13.0,,5.0,,,,8.0,,1.0,1.0,8.0,5.0,,,2.0,2.0,,,2.0,4.0,,,,11.0,6.0,,,1.0,5.0,,1.0,,,,,,,,4.0,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,3.0,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01,1.0,2.0,3.0,,7.0,,1.0,1.0,3.0,,6.0,,2.0,1.0,6.0,4.0,,,2.0,3.0,,2.0,2.0,,,,1.0,6.0,6.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-03,2.0,5.0,3.0,3.0,15.0,,1.0,,1.0,,6.0,,,,6.0,7.0,,,1.0,4.0,,1.0,3.0,2.0,,,2.0,6.0,4.0,3.0,,1.0,4.0,,,2.0,,1.0,2.0,,,,4.0,,,,,1.0,,,,,,,,,2.0,,,,1.0,,,,,1.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,3.0,,6.0,1.0,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-07,1.0,3.0,6.0,,6.0,,1.0,,,,6.0,1.0,,1.0,5.0,5.0,,,,2.0,,3.0,,5.0,1.0,1.0,3.0,10.0,4.0,4.0,,,3.0,,,1.0,,1.0,,,,,2.0,,,,,1.0,4.0,,,1.0,,,,,1.0,,5.0,,,,1.0,,2.0,,,,,,,,,,3.0,,,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-11,2.0,6.0,11.0,2.0,10.0,,,,2.0,,8.0,,1.0,,7.0,4.0,,,2.0,4.0,2.0,4.0,4.0,1.0,,,4.0,5.0,13.0,,,,10.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,2.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,2.0,5.0,4.0,1.0,11.0,,,,2.0,,9.0,,1.0,1.0,2.0,6.0,,1.0,1.0,10.0,1.0,1.0,,7.0,2.0,,3.0,7.0,4.0,1.0,,4.0,7.0,,1.0,,,5.0,,,1.0,1.0,4.0,,,,,,,,,,,1.0,,,2.0,,,,4.0,4.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,2.0,2.0,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-14,3.0,2.0,4.0,1.0,11.0,,3.0,,1.0,,,,,1.0,5.0,5.0,,,,,,4.0,,2.0,,,,9.0,7.0,8.0,,1.0,3.0,,2.0,2.0,,,,,,1.0,5.0,1.0,1.0,,,,2.0,,,,1.0,,,,2.0,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,4.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-15,1.0,3.0,2.0,,1.0,,1.0,,,,4.0,1.0,,,2.0,1.0,,,1.0,2.0,,1.0,1.0,1.0,,,,6.0,2.0,,,,3.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-18,1.0,3.0,8.0,1.0,9.0,,2.0,1.0,2.0,1.0,8.0,,,2.0,6.0,5.0,,2.0,,5.0,,,,5.0,1.0,,,6.0,4.0,5.0,,3.0,5.0,1.0,,1.0,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-19,1.0,7.0,2.0,1.0,13.0,,1.0,1.0,,,12.0,,1.0,1.0,8.0,6.0,,,1.0,5.0,,1.0,1.0,6.0,1.0,,2.0,10.0,7.0,2.0,,4.0,7.0,,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,3.0,,,,,,,1.0,1.0,,2.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
