word,lexicon
was,ngram
wasnt,ngram
way,ngram
wed,ngram
well,ngram
were,ngram
weve,ngram
well,ngram
went,ngram
were,ngram
werent,ngram
what,ngram
whats,ngram
whatever,ngram
when,ngram
whence,ngram
whenever,ngram
where,ngram
wheres,ngram
whereafter,ngram
whereas,ngram
whereby,ngram
wherein,ngram
whereupon,ngram
wherever,ngram
whether,ngram
which,ngram
while,ngram
whither,ngram
who,ngram
whos,ngram
whoever,ngram
whole,ngram
whom,ngram
whose,ngram
why,ngram
will,ngram
willing,ngram
with,ngram
wont,ngram
wonder,ngram
would,ngram
would,ngram
wouldnt,ngram
yes,ngram
yet,ngram
you,ngram
youd,ngram
youll,ngram
youre,ngram
youve,ngram
your,ngram
yours,ngram
yourself,ngram
yourselves,ngram
zero,ngram
min,ngram
their,ngram
my,ngram
theirs,ngram
them,ngram
themselves,ngram
